artid,journal,volume,issue,year,month,pages,cited3,cited2012,aut_num,ack_num,com_num,aut_cluster,ack_cluster,com_cluster,bip_cluster,aut_jaccard,ack_jaccard,com_jaccard,aut_density,ack_density,com_density,bip_density,aut_avgdegree,ack_avgdegree,com_avgdegree,bip_avgdegree,aut_flowhier,ack_flowhier,com_flowhier,aut_numcomp,ack_numcomp,com_numcomp,bip_numcomp
109,annurevisoci,31,1,2005,6,357-379,3,10,2,1,3,99,99,0.0,0.0,0.0322580645161,99,0.0322173346367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,1,3,3

110,annurevisoci,31,1,2005,6,381-399,8,47,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

111,annurevisoci,30,1,2004,6,1-21,15,58,1,1,2,99,99,99,0.0,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,1,2,2

112,annurevisoci,30,1,2004,6,23-46,3,12,2,3,5,99,0.0,0.0,0.0,0.214285714286,0.0921806974439,0.0978854414156,0.0,0.0,0.1,0.333333333333,0.0,0.0,0.4,0.4,99,99,1.0,2,3,4,4

113,annurevisoci,30,1,2004,6,47-64,3,32,2,0,2,99,99,99,0.0,0.0,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,2,0,2,2

114,annurevisoci,30,1,2004,6,65-80,24,112,4,0,4,0.583333333333,99,0.583333333333,0.0,0.151172923467,99,0.151172923467,1.41666666667,0.0,1.41666666667,0.0,4.25,0.0,4.25,0.0,0.0,99,0.0,1,0,1,4

115,annurevisoci,30,1,2004,6,81-101,9,36,1,0,1,99,99,99,0.0,99,99,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,99,99,1,0,1,1

